snapshot_index,time_s,ue_id,central_massive_mimo_sinr_db,distributed_fixed_sinr_db,distributed_movable_sinr_db,distributed_movable_optimization_2_sinr_db,distributed_movable_optimization_3_sinr_db
3,15.0,ue_001,-25.114836867753134,25.472951172124077,-120.0,26.091067101649777,24.64631489130071
3,15.0,ue_002,-120.0,15.477322611484219,69.30802935579362,2.4275451361849116,12.072743578287604
3,15.0,ue_003,7.811404399744593,31.098461498606834,24.17911331142173,19.03054003525932,57.91593590561793
3,15.0,ue_004,25.040407676457257,7.132728306997965,-17.3998394123987,38.552107776781,27.407367498635885
3,15.0,ue_005,-11.534841502711808,48.00928042497163,42.85091998000408,57.418090309196835,59.12184364011392
3,15.0,ue_006,2.009952790405592,-7.053732100776914,11.634625025182048,56.89556466847735,29.857224979173633
3,15.0,ue_007,7.375404678556567,30.549060406053275,22.035575892264156,28.817681189058632,52.91173195651007
3,15.0,ue_008,20.675807666369572,50.64647961137868,32.48515758373684,27.726098344775856,43.782828242594256
3,15.0,ue_009,37.616705606359716,30.642459102139654,19.041720026124743,53.647510154573766,46.12144574131981
4,20.0,ue_000,35.62866600562389,27.927550891348393,16.743844841553955,42.51047701317517,32.41571352188394
4,20.0,ue_001,-120.0,28.20674674719434,-120.0,27.507383244904943,28.295682465396617
4,20.0,ue_002,-120.0,8.05603697030328,73.43462001210716,-14.261150129903719,-10.013200912018384
4,20.0,ue_003,17.197462034937296,31.1210079301527,23.094352403129243,32.94673358454188,60.24876862259258
4,20.0,ue_004,29.821547155721806,13.403384962067214,9.019727499919117,37.566925310640016,26.425536071985398
4,20.0,ue_005,38.8886876979135,47.02916270780542,33.227803368228045,55.54100149892062,58.577429701230066
4,20.0,ue_006,1.0571477586080602,0.07641400380115865,11.677532432854466,56.156843938162034,28.54451310870366
4,20.0,ue_007,15.387278135626373,31.01249718192544,22.777212457960232,17.815637370853487,66.1254884716922
4,20.0,ue_008,24.031978764050077,50.61503778443264,31.340697806783314,27.868870640447856,45.62626316939304
4,20.0,ue_009,36.41277915205441,30.49573717756258,18.722745802658235,52.22483257196731,46.57873042543003
5,25.0,ue_000,27.831805651793076,29.356164920963877,20.822670519011794,47.93712679919552,36.7723532310967
5,25.0,ue_001,-120.0,31.212418846481576,-120.0,23.25812870854184,21.986972613119534
5,25.0,ue_002,-120.0,7.465427819293579,74.0709160093285,-14.720054628176019,-8.793344918306534
5,25.0,ue_003,18.95887435032674,35.62917168627727,31.810557025725,32.73099248136704,55.63659744198794
5,25.0,ue_004,30.104827276180075,15.73696246544917,8.914688008855798,37.95372837961341,28.657932409746323
5,25.0,ue_005,39.42403253343849,47.39300982510678,35.17313133890184,54.23707392019403,56.18439612817741
5,25.0,ue_006,3.7356424334039784,-0.17586483877226422,14.234304597607888,56.350352345489945,28.14896707946707
5,25.0,ue_007,16.21964220895429,39.26120766169453,27.97460571932924,24.3386301560728,64.21344026643503
5,25.0,ue_008,23.944621877472564,50.623011827474265,31.5500480576652,28.26306747284201,45.64739946156644
5,25.0,ue_009,20.14467817419504,36.23934058779231,27.506056247839837,58.69518134304778,53.05633084920538
6,30.0,ue_000,36.7498450641395,31.879693839644318,21.99107719514105,37.58187648094313,39.25468570212764
