time_s,ue_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
20.0,ue_003,50.914131430999475,16.32994987915993,1.5,-1.5070706541316654,1.4855891870850577,0.0
20.0,ue_004,-96.3863509528039,70.62262879489894,1.5,-1.5818984971182033,0.07484369984077546,0.0
20.0,ue_005,-5.806136883661951,-47.45067209722005,1.5,0.9382412803543222,-0.6945244703192003,0.0
20.0,ue_006,-91.39567788154818,-9.234992182813585,1.5,0.0,0.0,0.0
20.0,ue_007,52.60432211845182,6.765007817186415,1.5,0.0,0.0,0.0
20.0,ue_008,28.60432211845182,-73.23499218281358,1.5,0.0,0.38673488409870344,0.0
20.0,ue_009,28.60432211845182,30.765007817186415,1.5,0.0,0.0,0.0
25.0,ue_000,-11.307919428165743,30.677249363803977,1.5,0.02993678477244046,-1.8543256613996397,0.0
25.0,ue_001,-91.29346297011456,-65.81124840702172,1.5,0.020442982286724032,1.6788644140277085,0.0
25.0,ue_002,100.60432211845182,-81.23499218281358,1.5,0.0,0.0,0.0
25.0,ue_003,52.60432211845182,22.765007817186415,1.5,0.3380381374904687,1.287011587605297,0.0
25.0,ue_004,-96.23709355732817,67.6064234929664,1.5,0.029851479095145805,-0.6032410603865088,0.0
25.0,ue_005,-1.6704051687998789,-47.509719470065285,1.5,0.8271463429724145,-0.01180947456904704,0.0
25.0,ue_006,-91.39567788154818,-9.234992182813585,1.5,0.0,0.0,0.0
25.0,ue_007,52.60432211845182,6.765007817186415,1.5,0.0,0.0,0.0
25.0,ue_008,28.60432211845182,-73.23499218281358,1.5,0.0,0.0,0.0
25.0,ue_009,28.60432211845182,24.401957840058127,1.5,0.0,-1.2726099954256576,0.0
30.0,ue_000,-4.344518113481335,19.660558131405974,1.5,1.3926802629368815,-2.2033382464796007,0.0
30.0,ue_001,-85.98282004693283,-70.80313561391709,1.5,1.0621285846363464,-0.998377441379074,0.0
30.0,ue_002,84.60432211845182,-89.23499218281358,1.5,-3.2,-1.6,0.0
30.0,ue_003,52.60432211845182,22.765007817186415,1.5,0.0,0.0,0.0
30.0,ue_004,-91.16408894081849,62.51137499609543,1.5,1.0146009233019355,-1.0190096993741946,0.0
