strategy,strategy_label,ue_id,mean_sinr_db,median_sinr_db,percentile_10_db,percentile_90_db,min_sinr_db,max_sinr_db,outage_at_0db
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_004,37.55660726257398,39.35638343733194,5.24486788218365,57.47325451268104,-35.848154064984435,87.54277795456605,0.07905686546463246
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_005,41.77049415244141,44.40460355491162,26.170638142295513,60.28580482762216,-120.0,91.73757113210094,0.033287101248266296
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_006,40.819306444535414,40.76199093591618,30.236438743388085,55.03306335099197,-60.388060558074635,77.51922951425924,0.011095700416088766
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_007,37.24952068232164,37.21142142092538,16.276076343792404,56.06476440924812,-22.849729097507883,75.38071075212379,0.0027739251040221915
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_008,36.36050659713239,35.27962591459593,20.074003883107608,53.497859667408996,-14.1246711107639,79.99289365029354,0.004160887656033287
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_009,39.305758297773714,39.589846218775556,27.89282313217287,53.25834603783461,-75.30744344755227,82.80182631949437,0.009708737864077669
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_000,37.88466062025869,37.54411429763933,22.441609194229706,58.0235283014014,-61.98044631446875,82.91221579441498,0.036061026352288486
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_001,31.054084795804403,36.08885006165276,6.899595715579566,52.71024995213426,-120.0,75.42272391108534,0.07073509015256588
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_002,38.57390210665203,38.275661282416166,27.087824270313618,54.85492328699911,-57.73533945533732,79.92182812234735,0.04022191400832178
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_003,37.88206791633923,38.182999126314925,20.369127041930707,57.274793685150655,-74.23988651747077,84.63352494367268,0.020804438280166437
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_004,34.32415226893539,36.61366051491553,7.466292185639462,59.30994765520949,-56.869794974903,87.71261807565486,0.0638002773925104
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_005,38.76598495248621,42.33118560112024,19.24467571570716,61.21593002653655,-120.0,91.76468053958777,0.05547850208044383
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_006,35.27568487818615,38.57661175603614,16.05216011584375,57.51272821512555,-120.0,84.23054750092211,0.06657420249653259
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_007,33.042435370578595,31.864751867916695,11.062014369338026,61.02301266029741,-50.33039718760814,83.04984913562457,0.03467406380027739
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_008,34.3658626035433,33.5731942838523,18.023289261576654,51.513316034191774,2.1487528543519008,70.02529529729527,0.0
distributed_movable_optimization_3,Distributed movable (Opt. 3),ue_009,36.03431159193205,37.50464933758978,24.576957484209498,50.797697532814425,-57.735339777069726,65.73650867752386,0.05409153952843273
